Bond,Coupon,Issue_Date ,Maturity_Date ,Issue_Price,Access_Date ,Close_Price
0 CAN 0.50 Feb 22,0.50%,2016/10/10,2022/2/28,98.7,2022/1/10,100.04
0 CAN 0.50 Feb 22,0.50%,2016/10/10,2022/2/28,98.7,2022/1/11,100.03
0 CAN 0.50 Feb 22,0.50%,2016/10/10,2022/2/28,98.7,2022/1/12,100.03
0 CAN 0.50 Feb 22,0.50%,2016/10/10,2022/2/28,98.7,2022/1/13,100.03
0 CAN 0.50 Feb 22,0.50%,2016/10/10,2022/2/28,98.7,2022/1/14,100.02
0 CAN 0.50 Feb 22,0.50%,2016/10/10,2022/2/28,98.7,2022/1/17,100.02
0 CAN 0.50 Feb 22,0.50%,2016/10/10,2022/2/28,98.7,2022/1/18,100
0 CAN 0.50 Feb 22,0.50%,2016/10/10,2022/2/28,98.7,2022/1/19,100
0 CAN 0.50 Feb 22,0.50%,2016/10/10,2022/2/28,98.7,2022/1/20,100
0 CAN 0.50 Feb 22,0.50%,2016/10/10,2022/2/28,98.7,2022/1/21,100.01
1 CAN 0.25 Jul 22,0.25%,2020/5/3,2022/7/31,99.84,2022/1/10,99.8
1 CAN 0.25 Jul 22,0.25%,2020/5/3,2022/7/31,99.84,2022/1/11,99.79
1 CAN 0.25 Jul 22,0.25%,2020/5/3,2022/7/31,99.84,2022/1/12,99.78
1 CAN 0.25 Jul 22,0.25%,2020/5/3,2022/7/31,99.84,2022/1/13,99.77
1 CAN 0.25 Jul 22,0.25%,2020/5/3,2022/7/31,99.84,2022/1/14,99.76
1 CAN 0.25 Jul 22,0.25%,2020/5/3,2022/7/31,99.84,2022/1/17,99.72
1 CAN 0.25 Jul 22,0.25%,2020/5/3,2022/7/31,99.84,2022/1/18,99.7
1 CAN 0.25 Jul 22,0.25%,2020/5/3,2022/7/31,99.84,2022/1/19,99.7
1 CAN 0.25 Jul 22,0.25%,2020/5/3,2022/7/31,99.84,2022/1/20,99.72
1 CAN 0.25 Jul 22,0.25%,2020/5/3,2022/7/31,99.84,2022/1/21,99.74
2 CAN 0.25 Oct 22,0.25%,2020/8/16,2022/10/31,99.81,2022/1/10,99.55
2 CAN 0.25 Oct 22,0.25%,2020/8/16,2022/10/31,99.81,2022/1/11,99.54
2 CAN 0.25 Oct 22,0.25%,2020/8/16,2022/10/31,99.81,2022/1/12,99.52
2 CAN 0.25 Oct 22,0.25%,2020/8/16,2022/10/31,99.81,2022/1/13,99.52
2 CAN 0.25 Oct 22,0.25%,2020/8/16,2022/10/31,99.81,2022/1/14,99.5
2 CAN 0.25 Oct 22,0.25%,2020/8/16,2022/10/31,99.81,2022/1/17,99.43
2 CAN 0.25 Oct 22,0.25%,2020/8/16,2022/10/31,99.81,2022/1/18,99.4
2 CAN 0.25 Oct 22,0.25%,2020/8/16,2022/10/31,99.81,2022/1/19,99.42
2 CAN 0.25 Oct 22,0.25%,2020/8/16,2022/10/31,99.81,2022/1/20,99.43
2 CAN 0.25 Oct 22,0.25%,2020/8/16,2022/10/31,99.81,2022/1/21,99.46
3 CAN 0.25 Jan 23,0.25%,2020/10/25,2023/1/31,99.94,2022/1/10,99.31
3 CAN 0.25 Jan 23,0.25%,2020/10/25,2023/1/31,99.94,2022/1/11,99.26
3 CAN 0.25 Jan 23,0.25%,2020/10/25,2023/1/31,99.94,2022/1/12,99.29
3 CAN 0.25 Jan 23,0.25%,2020/10/25,2023/1/31,99.94,2022/1/13,99.28
3 CAN 0.25 Jan 23,0.25%,2020/10/25,2023/1/31,99.94,2022/1/14,99.26
3 CAN 0.25 Jan 23,0.25%,2020/10/25,2023/1/31,99.94,2022/1/17,99.18
3 CAN 0.25 Jan 23,0.25%,2020/10/25,2023/1/31,99.94,2022/1/18,99.12
3 CAN 0.25 Jan 23,0.25%,2020/10/25,2023/1/31,99.94,2022/1/19,99.1
3 CAN 0.25 Jan 23,0.25%,2020/10/25,2023/1/31,99.94,2022/1/20,99.15
3 CAN 0.25 Jan 23,0.25%,2020/10/25,2023/1/31,99.94,2022/1/21,99.2
4 CAN 0.25 Apr 23,0.25%,2021/2/4,2023/4/30,100.05,2022/1/10,99.08
4 CAN 0.25 Apr 23,0.25%,2021/2/4,2023/4/30,100.05,2022/1/11,99.07
4 CAN 0.25 Apr 23,0.25%,2021/2/4,2023/4/30,100.05,2022/1/12,99.05
4 CAN 0.25 Apr 23,0.25%,2021/2/4,2023/4/30,100.05,2022/1/13,99.04
4 CAN 0.25 Apr 23,0.25%,2021/2/4,2023/4/30,100.05,2022/1/14,99.01
4 CAN 0.25 Apr 23,0.25%,2021/2/4,2023/4/30,100.05,2022/1/17,98.9
4 CAN 0.25 Apr 23,0.25%,2021/2/4,2023/4/30,100.05,2022/1/18,98.85
4 CAN 0.25 Apr 23,0.25%,2021/2/4,2023/4/30,100.05,2022/1/19,98.87
4 CAN 0.25 Apr 23,0.25%,2021/2/4,2023/4/30,100.05,2022/1/20,98.87
4 CAN 0.25 Apr 23,0.25%,2021/2/4,2023/4/30,100.05,2022/1/21,98.92
5 CAN 0.25 Jul 23,0.25%,2021/5/13,2023/7/31,99.69,2022/1/10,98.808
5 CAN 0.25 Jul 23,0.25%,2021/5/13,2023/7/31,99.69,2022/1/11,98.8
5 CAN 0.25 Jul 23,0.25%,2021/5/13,2023/7/31,99.69,2022/1/12,98.781
5 CAN 0.25 Jul 23,0.25%,2021/5/13,2023/7/31,99.69,2022/1/13,98.763
5 CAN 0.25 Jul 23,0.25%,2021/5/13,2023/7/31,99.69,2022/1/14,98.736
5 CAN 0.25 Jul 23,0.25%,2021/5/13,2023/7/31,99.69,2022/1/17,98.61
5 CAN 0.25 Jul 23,0.25%,2021/5/13,2023/7/31,99.69,2022/1/18,98.553
5 CAN 0.25 Jul 23,0.25%,2021/5/13,2023/7/31,99.69,2022/1/19,98.549
5 CAN 0.25 Jul 23,0.25%,2021/5/13,2023/7/31,99.69,2022/1/20,98.558
5 CAN 0.25 Jul 23,0.25%,2021/5/13,2023/7/31,99.69,2022/1/21,98.611
6 CAN 0.50 Oct 23,0.50%,2021/8/8,2023/10/31,99.9,2022/1/10,98.968
6 CAN 0.50 Oct 23,0.50%,2021/8/8,2023/10/31,99.9,2022/1/11,98.955
6 CAN 0.50 Oct 23,0.50%,2021/8/8,2023/10/31,99.9,2022/1/12,98.934
6 CAN 0.50 Oct 23,0.50%,2021/8/8,2023/10/31,99.9,2022/1/13,98.911
6 CAN 0.50 Oct 23,0.50%,2021/8/8,2023/10/31,99.9,2022/1/14,98.878
6 CAN 0.50 Oct 23,0.50%,2021/8/8,2023/10/31,99.9,2022/1/17,98.732
6 CAN 0.50 Oct 23,0.50%,2021/8/8,2023/10/31,99.9,2022/1/18,98.666
6 CAN 0.50 Oct 23,0.50%,2021/8/8,2023/10/31,99.9,2022/1/19,98.654
6 CAN 0.50 Oct 23,0.50%,2021/8/8,2023/10/31,99.9,2022/1/20,98.661
6 CAN 0.50 Oct 23,0.50%,2021/8/8,2023/10/31,99.9,2022/1/21,98.717
7 CAN 0.25 Mar 24,0.25%,2020/10/15,2024/3/31,99.86,2022/1/10,97.96
7 CAN 0.25 Mar 24,0.25%,2020/10/15,2024/3/31,99.86,2022/1/11,97.96
7 CAN 0.25 Mar 24,0.25%,2020/10/15,2024/3/31,99.86,2022/1/12,97.93
7 CAN 0.25 Mar 24,0.25%,2020/10/15,2024/3/31,99.86,2022/1/13,97.9
7 CAN 0.25 Mar 24,0.25%,2020/10/15,2024/3/31,99.86,2022/1/14,97.86
7 CAN 0.25 Mar 24,0.25%,2020/10/15,2024/3/31,99.86,2022/1/17,97.68
7 CAN 0.25 Mar 24,0.25%,2020/10/15,2024/3/31,99.86,2022/1/18,97.61
7 CAN 0.25 Mar 24,0.25%,2020/10/15,2024/3/31,99.86,2022/1/19,97.6
7 CAN 0.25 Mar 24,0.25%,2020/10/15,2024/3/31,99.86,2022/1/20,97.6
7 CAN 0.25 Mar 24,0.25%,2020/10/15,2024/3/31,99.86,2022/1/21,97.71
8 CAN 0.50 Aug 25,0.50%,2020/4/2,2025/8/31,99.63,2022/1/10,96.66
8 CAN 0.50 Aug 25,0.50%,2020/4/2,2025/8/31,99.63,2022/1/11,96.72
8 CAN 0.50 Aug 25,0.50%,2020/4/2,2025/8/31,99.63,2022/1/12,96.77
