CAN 0.50 Feb 22,CAN 0.25 Jul 22,CAN 0.25 Oct 22,CAN 0.25 Jan 23,CAN 0.25 Apr 23,CAN 0.25 Jul 23,CAN 0.50 Oct 23,CAN 0.25 Mar 24,CAN 0.50 Aug 25,CAN 0.25 Feb 26
0,0,0,0,0,0,0,0,0,0
0.005438378,0.099127921,0.017921797,0.034511553,0.005411948,0.004719237,0.006721529,0.000540522,-0.008778315,-0.006675045
0.008680253,0.081410319,0.03262004,-0.018590494,0.009772414,0.01001291,0.010279326,0.007471518,-0.007400621,0.006107715
0.008856945,0.069187142,0.001492798,0.007809312,0.005283075,0.009352739,0.010961112,0.007367435,0.000331369,-0.002023354
0.005958274,0.060243694,0.03056035,0.014189621,0.013753599,0.013339638,0.015031866,0.009485751,0.014156667,0.011767333
0.028319619,0.182978692,0.093295227,0.052084112,0.046880989,0.056661325,0.060491996,0.03982226,0.037352725,0.032663596
0.003657386,0.06930839,0.034669406,0.034410448,0.019612404,0.02332333,0.024767762,0.014569391,0.023513802,0.023060313
0.010102656,0.002247883,-0.020293619,0.011706809,-0.00644216,0.002320353,0.00491413,0.002515293,0.014737195,0.003317609
0.01034265,-0.064813781,-0.009800402,-0.025710024,0.000937403,-0.002690041,-0.001799736,0.000547561,-0.004852056,-0.001716323
0.01369588,-0.07703726,-0.034329858,-0.027450565,-0.018060387,-0.020235005,-0.019607067,-0.021589842,-0.015581767,-0.018208579
